file_path,line_number,type,code_snippet,priority
apps\meteor\.scripts\make-migration.ts,7,console.error,console.error(`1st param must be a valid number. ${number} provided`);,KEEP
apps\meteor\.scripts\make-migration.ts,19,console.error,console.error('Migration with specified number already exists');,KEEP
apps\meteor\.scripts\make-migration.ts,38,console.log,console.log(`Migration ${migrationName} created`);,KEEP
apps\meteor\.scripts\make-migration.ts,46,console.error,console.error('Usage:\n\tmeteor npm run migration:add <migration number> [migration comment: optional]\n');,KEEP
apps\meteor\app\api\server\api.ts,88,console.warn,"console.warn('Invalid Custom Fields', error);",REVIEW
apps\meteor\app\api\server\ApiClass.ts,454,console.error,console.error(error.message);,KEEP
apps\meteor\app\api\server\ApiClass.ts,1158,console.warn,console.warn('Warning: Default logout via GET will be removed in Restivus v1.0. Use POST instead.');,REVIEW
apps\meteor\app\api\server\ApiClass.ts,1159,console.warn,console.warn('    See https://github.com/kahmali/meteor-restivus/issues/100');,REVIEW
apps\meteor\app\api\server\helpers\getUserInfo.ts,76,console.error,"console.error('Invalid Outlook Calendar URL Mapping JSON:', error);",KEEP
apps\meteor\app\api\server\lib\MultipartUploadHandler.ts,42,console.warn,"console.warn(`[UploadService] Failed to cleanup temp file: ${tempFilePath}`, error);",REVIEW
apps\meteor\app\api\server\v1\commands.ts,176,console.warn,"console.warn(""Can't mix remove and get fields"");",REVIEW
apps\meteor\app\api\server\v1\e2e.ts,436,console.error,console.error(e);,KEEP
apps\meteor\app\api\server\v1\rooms.ts,239,console.error,console.error(e);,KEEP
apps\meteor\app\apps\server\bridges\details.ts,11,console.warn,"const logFailure = () => console.warn('failed to notify about the setting change.', appId);",REVIEW
apps\meteor\app\apps\server\bridges\livechat.ts,295,console.warn,console.warn('The method AppLivechatBridge.findVisitors is deprecated. Please consider using its alternatives');,KEEP
apps\meteor\app\autotranslate\client\lib\autotranslate.ts,113,console.error,console.error((e as Error).message);,KEEP
apps\meteor\app\cloud\server\index.ts,25,console.log,console.log('Successfully registered with token provided by REG_TOKEN!');,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,103,console.error,console.error('=== UnHandledPromiseRejection ===');,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,104,console.error,console.error(error);,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,105,console.error,console.error('---------------------------------');,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,106,console.error,console.error('Errors like this can cause oplog processing errors.');,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,107,console.error,console.error(,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,110,console.error,console.error('Future node.js versions will automatically exit the process');,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,111,console.error,console.error('=================================');,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,121,console.error,console.error('=== UnCaughtException ===');,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,122,console.error,console.error(error);,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,123,console.error,console.error('-------------------------');,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,124,console.error,console.error('Errors like this can cause oplog processing errors.');,KEEP
apps\meteor\app\error-handler\server\lib\RocketChat.ErrorHandler.ts,125,console.error,console.error('===========================');,KEEP
apps\meteor\app\file\server\file.server.ts,177,console.error,console.error(error1);,KEEP
apps\meteor\app\file\server\file.server.ts,207,console.error,console.error(error1);,KEEP
apps\meteor\app\file-upload\ufs\Webdav\server.ts,44,console.warn,"console.warn('File upload is unauthorized to connect on Webdav, please verify your credentials');",REVIEW
apps\meteor\app\lib\server\methods\restartServer.ts,30,console.warn,"console.warn('Call to process.exit() timed out, aborting.');",REVIEW
